exp,meson,target,observable,Q2,xB,t,value,stat,syst,Ebeam,in_fit,source
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,4.0646,0.5118,-0.7857,0.0484,0.0186,0.0229,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,4.3727,0.5275,-1.3613,0.0805,0.0187,0.0293,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,6.0104,0.5049,-0.6398,0.0597,0.0335,0.0416,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,6.4545,0.5523,-1.0374,0.0871,0.0312,0.0295,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,6.7747,0.5841,-1.6012,0.0662,0.0291,0.0285,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,2.5152,0.2891,-0.4835,0.0673,0.0209,0.0268,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,2.515,0.2912,-0.8321,0.0444,0.0202,0.0227,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,2.5472,0.2802,-1.4717,0.0328,0.0196,0.0247,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,2.8221,0.3937,-0.4729,0.0321,0.0176,0.029,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,2.9,0.3926,-0.7557,0.0567,0.0171,0.027,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,3.0698,0.3926,-1.3199,0.0543,0.0162,0.0256,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,4.5121,0.3609,-0.4884,0.0914,0.0403,0.0419,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,4.631,0.3717,-0.8062,0.0581,0.0371,0.0313,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,4.573,0.3626,-1.4475,0.0929,0.0315,0.0287,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,3.6791,0.4897,-0.5611,0.0476,0.0232,0.0338,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,4.0496,0.5155,-0.8779,0.0523,0.0204,0.0296,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,4.2635,0.5234,-1.4471,0.039,0.0197,0.0399,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,5.9867,0.5131,-0.733,0.077,0.0391,0.0377,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,6.3396,0.5543,-1.1461,0.118,0.0358,0.0443,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
CLAS12_y24,pi0,p,sigma_LT'/sigma_0,6.587,0.5782,-1.6506,0.0144,0.034,0.0233,10.6,yes,"Kim et al., PLB 849 138459 (2024), supplemental tables III and IV"
eg1dvcs,pi0,p (long. polarised),A_UL^sinphi,1.94,0.25,-0.15,0.273,0.037,0.03,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M5"
eg1dvcs,pi0,p (long. polarised),A_UL^sinphi,1.94,0.25,-0.26,0.226,0.033,0.06,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M5"
eg1dvcs,pi0,p (long. polarised),A_UL^sinphi,1.94,0.25,-0.49,0.299,0.036,0.019,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M5"
eg1dvcs,pi0,p (long. polarised),A_UL^sinphi,1.94,0.25,-0.92,0.28,0.037,0.016,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M5"
eg1dvcs,pi0,p (long. polarised),A_UL^sinphi,1.94,0.25,-1.46,0.194,0.048,0.032,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M5"
eg1dvcs,pi0,p (long. polarised),A_UL^sinphi,2.83,0.4,-0.27,0.165,0.046,0.036,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M6"
eg1dvcs,pi0,p (long. polarised),A_UL^sinphi,2.83,0.4,-0.52,0.207,0.031,0.022,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M6"
eg1dvcs,pi0,p (long. polarised),A_UL^sinphi,2.83,0.4,-0.88,0.14,0.036,0.022,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M6"
eg1dvcs,pi0,p (long. polarised),A_UL^sinphi,2.83,0.4,-1.24,0.169,0.05,0.051,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M6"
eg1dvcs,pi0,p (long. polarised),A_UL^sinphi,2.83,0.4,-1.59,0.27,0.057,0.028,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M6"
eg1dvcs,pi0,p (long. polarised),A_UL^sin2phi,1.94,0.25,-0.15,-0.044,0.036,0.043,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M7"
eg1dvcs,pi0,p (long. polarised),A_UL^sin2phi,1.94,0.25,-0.26,-0.062,0.032,0.025,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M7"
eg1dvcs,pi0,p (long. polarised),A_UL^sin2phi,1.94,0.25,-0.49,-0.096,0.037,0.02,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M7"
eg1dvcs,pi0,p (long. polarised),A_UL^sin2phi,1.94,0.25,-0.92,-0.137,0.036,0.016,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M7"
eg1dvcs,pi0,p (long. polarised),A_UL^sin2phi,1.94,0.25,-1.46,-0.121,0.042,0.012,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M7"
eg1dvcs,pi0,p (long. polarised),A_UL^sin2phi,2.83,0.4,-0.27,-0.009,0.042,0.029,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M8"
eg1dvcs,pi0,p (long. polarised),A_UL^sin2phi,2.83,0.4,-0.52,-0.029,0.025,0.02,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M8"
eg1dvcs,pi0,p (long. polarised),A_UL^sin2phi,2.83,0.4,-0.88,-0.052,0.027,0.008,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M8"
eg1dvcs,pi0,p (long. polarised),A_UL^sin2phi,2.83,0.4,-1.24,-0.096,0.042,0.036,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M8"
eg1dvcs,pi0,p (long. polarised),A_UL^sin2phi,2.83,0.4,-1.59,-0.165,0.047,0.027,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M8"
eg1dvcs,pi0,p (long. polarised),A_LL^const,1.94,0.25,-0.15,0.59,0.029,0.018,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M9"
eg1dvcs,pi0,p (long. polarised),A_LL^const,1.94,0.25,-0.26,0.589,0.027,0.03,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M9"
eg1dvcs,pi0,p (long. polarised),A_LL^const,1.94,0.25,-0.49,0.562,0.034,0.031,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M9"
eg1dvcs,pi0,p (long. polarised),A_LL^const,1.94,0.25,-0.92,0.392,0.029,0.025,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M9"
eg1dvcs,pi0,p (long. polarised),A_LL^const,1.94,0.25,-1.46,0.215,0.036,0.037,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M9"
eg1dvcs,pi0,p (long. polarised),A_LL^const,2.83,0.4,-0.27,0.701,0.04,0.059,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M10"
eg1dvcs,pi0,p (long. polarised),A_LL^const,2.83,0.4,-0.52,0.664,0.023,0.032,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M10"
eg1dvcs,pi0,p (long. polarised),A_LL^const,2.83,0.4,-0.88,0.486,0.028,0.013,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M10"
eg1dvcs,pi0,p (long. polarised),A_LL^const,2.83,0.4,-1.24,0.499,0.038,0.016,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M10"
eg1dvcs,pi0,p (long. polarised),A_LL^const,2.83,0.4,-1.59,0.446,0.047,0.034,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M10"
eg1dvcs,pi0,p (long. polarised),A_LL^cosphi,1.94,0.25,-0.15,0.109,0.041,0.034,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M11"
eg1dvcs,pi0,p (long. polarised),A_LL^cosphi,1.94,0.25,-0.26,0.086,0.04,0.028,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M11"
eg1dvcs,pi0,p (long. polarised),A_LL^cosphi,1.94,0.25,-0.49,0.133,0.061,0.04,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M11"
eg1dvcs,pi0,p (long. polarised),A_LL^cosphi,1.94,0.25,-0.92,0.117,0.048,0.028,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M11"
eg1dvcs,pi0,p (long. polarised),A_LL^cosphi,1.94,0.25,-1.46,-0.039,0.041,0.024,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M11"
eg1dvcs,pi0,p (long. polarised),A_LL^cosphi,2.83,0.4,-0.27,0.159,0.066,,5.9,yes,"Kim et al., PLB 768 168 (2017), CLAS DB E154M12"
