exp,meson,target,group,Q2,xB,t,tmin,tprime,xB_mean,Q2_bin,xB_bin,t_bin,eps,npts_phi,Ebeam,sigma_meaning,chi2ndf_phi,chi2ndf_phi_rc,in_fit,source,s_u,stat_U,sys_U,s_LT,stat_LT,sys_LT,s_TT,stat_TT,sys_TT,s_u_rc,stat_U_rc,sys_U_rc,s_LT_rc,stat_LT_rc,sys_LT_rc,s_TT_rc,stat_TT_rc,sys_TT_rc
CLAS6_y12,pi0,p,pi007,2.100667,0.238,-0.249,0.06335480763013956,0.1856451923698604,0.238,2.1,0.238,-0.25,0.311985,15.0,5.75,sigma_U,1.438118,1.420845,yes,"PRC 90 025205 (2014) supplemental, phi table",240.041207,20.258124,24.004121,57.749474,36.585499,30.39446,47.432999,84.453089,106.976551,231.109148,19.327578,23.110915,48.817238,34.870394,25.693283,39.53315,81.419696,89.159869
CLAS6_y12,pi0,p,pi008,2.20875,0.274438,-0.121938,0.08710632734766888,0.03483167265233113,0.274438,2.21,0.276,-0.12,0.432444,16.0,5.75,sigma_U,1.050268,1.053153,yes,"PRC 90 025205 (2014) supplemental, phi table",240.631739,25.173563,10.983191,-44.571734,35.743394,9.116946,28.789562,58.254517,16.87664,235.661983,24.751355,10.756356,-45.31615,35.145973,9.269212,27.191742,57.040928,15.939986
CLAS6_y12,pi0,p,pi008,2.2085,0.27605,-0.17505,0.0882560586381822,0.08679394136181781,0.27605,2.21,0.276,-0.17,0.439626,20.0,5.75,sigma_U,1.330221,1.328525,yes,"PRC 90 025205 (2014) supplemental, phi table",257.092611,12.370569,18.006486,-5.736946,16.581481,12.430049,-12.663692,37.44763,39.939336,251.802213,12.142366,17.635953,-7.572806,16.269046,16.407746,-13.075357,36.666192,41.237666
CLAS6_y12,pi0,p,pi008,2.21,0.276,-0.24855,0.08822294582847645,0.1603270541715235,0.276,2.21,0.276,-0.25,0.438568,20.0,5.75,sigma_U,1.131088,1.128165,yes,"PRC 90 025205 (2014) supplemental, phi table",268.798742,9.791024,18.999911,-6.328047,13.449508,21.093491,-53.373968,28.869802,29.652204,261.318981,9.574172,18.471208,-11.120197,13.162786,37.067322,-57.224745,28.042212,31.791525
CLAS6_y12,pi0,p,pi008,2.21,0.276,-0.349222,0.08822294582847645,0.2609990541715235,0.276,2.21,0.276,-0.35,0.438568,18.0,5.75,sigma_U,0.599281,0.610384,yes,"PRC 90 025205 (2014) supplemental, phi table",241.850735,10.840507,10.993215,31.684833,14.392385,11.881812,-102.249432,33.554504,22.053799,233.641664,10.549024,10.620076,25.16831,14.062811,9.438116,-109.77002,32.432684,23.675887
CLAS6_y12,pi0,p,pi008,2.21,0.276111,-0.496,0.08830246238188488,0.4076975376181151,0.276111,2.21,0.276,-0.49,0.43905,18.0,5.75,sigma_U,0.968445,0.968142,yes,"PRC 90 025205 (2014) supplemental, phi table",193.487598,7.081832,16.99891,41.258502,9.411803,20.07713,-57.010544,22.051458,47.848135,186.790981,6.892678,16.410577,34.929407,9.154174,16.997278,-65.211743,21.343063,54.731284
CLAS6_y12,pi0,p,pi008,2.21,0.276778,-0.779667,0.08878117873541269,0.6908858212645873,0.276778,2.21,0.276,-0.78,0.441926,18.0,5.75,sigma_U,1.681578,1.675156,yes,"PRC 90 025205 (2014) supplemental, phi table",101.49015,2.97366,6.605868,7.393707,4.285275,7.089856,-68.89036,10.269537,9.98411,98.712043,2.909435,6.425044,4.443919,4.135012,4.261292,-72.379588,9.910983,10.489795
CLAS6_y12,pi0,p,pi008,2.21,0.276947,-1.218421,0.08890271805948835,1.129518281940512,0.276947,2.21,0.276,-1.22,0.442654,19.0,5.75,sigma_U,0.546516,0.516868,yes,"PRC 90 025205 (2014) supplemental, phi table",50.009318,2.010475,3.300615,5.780787,2.327496,3.887081,-22.480314,6.931807,2.3979,48.994047,1.981283,3.233607,4.447293,2.26115,2.990421,-24.938277,6.691579,2.660083
CLAS6_y12,pi0,p,pi008,2.211333,0.2772,-1.718667,0.08908730064033588,1.629579699359664,0.2772,2.21,0.276,-1.72,0.442995,15.0,5.75,sigma_U,1.602647,1.605474,yes,"PRC 90 025205 (2014) supplemental, phi table",20.809115,1.513148,3.101359,-0.094083,1.759948,2.163899,-10.126241,4.846353,5.31377,20.538129,1.500721,3.060971,-0.332831,1.743305,7.65511,-10.467993,4.789504,5.493105
CLAS6_y12,pi0,p,pi011,2.238667,0.332,-0.176733,0.1341063348127891,0.04262666518721089,0.332,2.25,0.337,-0.18,0.609859,15.0,5.75,sigma_U,1.117618,1.115728,yes,"PRC 90 025205 (2014) supplemental, phi table",329.921745,43.696527,30.992649,13.872986,52.473038,36.664319,-113.179177,79.602347,117.150376,326.57784,43.328993,30.678524,12.067687,51.995511,31.893173,-112.5426,78.612982,116.491463
