    2.21000     0.27611     0.49600   186.79098     6.89268    16.41058    34.92941     9.15417    16.99728   -65.21174    21.34306    54.73128
    2.21000     0.27678     0.77967    98.71204     2.90944     6.42504     4.44392     4.13501     4.26129   -72.37959     9.91098    10.48980
    2.21000     0.27695     1.21842    48.99405     1.98128     3.23361     4.44729     2.26115     2.99042   -24.93828     6.69158     2.66008
    2.21133     0.27720     1.71867    20.53813     1.50072     3.06097    -0.33283     1.74331     7.65511   -10.46799     4.78950     5.49310
    2.23867     0.33200     0.17673   326.57784    43.32899    30.67852    12.06769    51.99551    31.89317  -112.54260    78.61298   116.49146
    2.24056     0.33683     0.24917   385.67713    18.28426    43.29029   -10.52722    19.82311    44.74068   -53.01473    33.04685    27.00750
    2.24100     0.33730     0.49665   286.72612     6.35760    14.64383    21.51090     5.30580    10.59249  -140.14311    13.90508    12.27531
    2.24250     0.33700     0.34920   339.12105    11.45355    13.72166    36.42873    10.62617    10.92862  -151.42395    22.93174    14.94315
    2.24050     0.33790     0.78410   195.78097     3.72964    12.67506    -6.38848     3.19528    15.21068   -85.21349     9.26312    10.84141
    2.24100     0.33900     1.22170   107.60476     2.52595     5.27283   -15.18596     2.23993     4.79557   -53.48739     6.27268     6.47367
    2.24350     0.33990     1.72225    48.81713     1.71839     4.50018    -7.12032     1.79129     6.24397   -33.12963     3.59476     5.94897
    2.34067     0.40327     0.34927   466.73461    47.83340    52.40876    -8.37627    59.73630   110.28754   -24.30761   104.08788   212.69158
    2.34133     0.40340     0.49807   466.56780    20.20198    38.30767   -24.57400    22.37289    30.15900   -19.56310    49.96699    60.99083
    2.34250     0.40369     0.78794   368.30415    10.78368    16.60788   -25.69455    10.28771     6.77402  -155.41539    25.27934    19.68595
    2.34278     0.40400     1.22694   187.32057     7.24873    12.63054   -39.09772     7.80031     4.61206   -73.82859    15.66186    47.38253
    2.34667     0.40433     1.72507    87.20286     6.42759     2.98706   -23.01685     7.27912     5.85697   -16.74527    11.17442    10.82002
    2.71000     0.33615     0.17777   227.14652    34.79241    28.64021   -77.69637    50.63354    83.67301    58.24319    87.80339   182.49534
    2.71200     0.34200     0.24900   213.26125     7.95696     9.81414    -7.73281     9.98113     5.54185   -75.57351    26.57166    21.87654
    2.71250     0.34220     0.34925   215.51223     7.89307     7.81904    11.99546     9.57392     5.88165   -98.01251    26.83194    28.29227
